url,description,verified,tweets,location,label
https://twitter.com/ScottMorrisonMP,"Prime Minister of Australia and Federal Member for Cook. Authorised by S. Morrison, Liberal Party, Canberra.",True,"Just awful to hear the news of the passing of Andrew Symonds. Roy was an incredible talent and a great character of Australian sport. Loved by his teammates and fans alike, he will be sorely missed by many. My condolences to his family, friends and the cricket community.","Canberra, Australia",Politician
https://twitter.com/ScottMorrisonMP,"Prime Minister of Australia and Federal Member for Cook. Authorised by S. Morrison, Liberal Party, Canberra.",True,"Deeply saddened to hear of the passing of UAE President, HH Sheikh Khalifa bin Zayed Al Nahyan. Sheikh Khalifa presided over an extraordinary period in his nation’s history, during which Australia-UAE ties reached new heights. Deepest condolences to his family and the UAE people.","Canberra, Australia",Politician
https://twitter.com/ScottMorrisonMP,"Prime Minister of Australia and Federal Member for Cook. Authorised by S. Morrison, Liberal Party, Canberra.",True,"I congratulate Ferdinand Marcos Jr @bongbongmarcos on being elected President of the Philippines at the national elections on 9 May. Following the 75th anniversary of Australia-Philippines relations last year, we look forward to continuing to advance our long-standing friendship.","Canberra, Australia",Politician
https://twitter.com/ScottMorrisonMP,"Prime Minister of Australia and Federal Member for Cook. Authorised by S. Morrison, Liberal Party, Canberra.",True,"Great news! Alongside the Olympics, the FIFA Women’s World Cup, and the Commonwealth Games, this is important for our economy.

Major events create jobs and provide a huge boost to our tourism industry. Let’s keep heading in the right direction. Now is not the time to turn back. https://t.co/Ofx7JRrNGU","Canberra, Australia",Politician
https://twitter.com/ScottMorrisonMP,"Prime Minister of Australia and Federal Member for Cook. Authorised by S. Morrison, Liberal Party, Canberra.",True,"Congratulations Dr José Ramos-Horta on today’s official declaration of your election as President of Timor-Leste. Our countries have a shared history &amp; a strong, enduring partnership. Australia looks forward to working with you as Timor-Leste celebrates 20 years of independence.","Canberra, Australia",Politician
https://twitter.com/ScottMorrisonMP,"Prime Minister of Australia and Federal Member for Cook. Authorised by S. Morrison, Liberal Party, Canberra.",True,"Congratulations Emmanuel Macron on your re-election as President. Another great expression of liberal democracy in action in uncertain times. We wish you &amp; France every success, in particular your leadership in Europe and as an important partner to Australia in the Indo-Pacific.","Canberra, Australia",Politician
https://twitter.com/ScottMorrisonMP,"Prime Minister of Australia and Federal Member for Cook. Authorised by S. Morrison, Liberal Party, Canberra.",True,"Lest We Forget.

#AnzacDay https://t.co/xf7wfkPXr8","Canberra, Australia",Politician
https://twitter.com/ScottMorrisonMP,"Prime Minister of Australia and Federal Member for Cook. Authorised by S. Morrison, Liberal Party, Canberra.",True,Very sorry to hear one of Premier Mark McGowan’s children has been hospitalised with COVID. Jen and I send our best wishes to the Premier and his whole family for a full recovery and have been in touch to convey our message of support at this difficult time.,"Canberra, Australia",Politician
https://twitter.com/ScottMorrisonMP,"Prime Minister of Australia and Federal Member for Cook. Authorised by S. Morrison, Liberal Party, Canberra.",True,"I wish Anthony Albanese all the best for his recovery after testing positive to COVID. Everyone’s experience with COVID is different and as Labor’s campaign continues, I hope he does not experience any serious symptoms.","Canberra, Australia",Politician
https://twitter.com/ScottMorrisonMP,"Prime Minister of Australia and Federal Member for Cook. Authorised by S. Morrison, Liberal Party, Canberra.",True,"I am pleased the two Tasmania Police officers are doing well and have been discharged from hospital.

Jen and my prayers are with all the officers and their families for their full recovery.","Canberra, Australia",Politician
https://twitter.com/CanadianPM,Official account of Prime Minister Justin Trudeau – Terms: ow.ly/aWgL50wn5BG – Français: @PMcanadien | For #COVID19 updates: Canada.ca/Coronavirus,True,"Today, PM Justin Trudeau spoke with the Prime Minister of Finland, Sanna Marin, to express Canada’s support for Finland’s application to join #NATO. They also agreed to continue working together to advance shared priorities. More on their call: https://t.co/lIifcRx0gI","Ottawa, Ontario, Canada",Politician
https://twitter.com/CanadianPM,Official account of Prime Minister Justin Trudeau – Terms: ow.ly/aWgL50wn5BG – Français: @PMcanadien | For #COVID19 updates: Canada.ca/Coronavirus,True,Prime Minister Justin Trudeau’s statement on the 13th anniversary of the end of the armed conflict in Sri Lanka: https://t.co/EcodhEVqQE,"Ottawa, Ontario, Canada",Politician
