url,description,verified,tweets,location,label
https://twitter.com/AliZafarsays,Artist | Singer/Song-writer | Actor | Composer | Producer | Painter | Humanitarian.   Retweets are not endorsements.,True,"Thank you so much for your birthday wishes. It is indeed important to analyse and accept yourself as you grow old…ahem…young 😎

Khush rahain. Doosroon ko bhee khushiyaan deign. Zindagi choti si hai. Nothing is worth stressing over. 

And don’t take yourself too seriously 🕺 https://t.co/iORxVcW97u",Mid-air … somewhere. ,Singer
https://twitter.com/AliZafarsays,Artist | Singer/Song-writer | Actor | Composer | Producer | Painter | Humanitarian.   Retweets are not endorsements.,True,How do you guys make these montages ? They bring so many memories :) https://t.co/Tf0LcnrKT5,Mid-air … somewhere. ,Singer
https://twitter.com/AliZafarsays,Artist | Singer/Song-writer | Actor | Composer | Producer | Painter | Humanitarian.   Retweets are not endorsements.,True,🙏😊 https://t.co/cqWUsmB1Zi,Mid-air … somewhere. ,Singer
https://twitter.com/AliZafarsays,Artist | Singer/Song-writer | Actor | Composer | Producer | Painter | Humanitarian.   Retweets are not endorsements.,True,"Another pertinent question remains. What do those who enable, support, and promote them deserve ? #DeppVsHeard",Mid-air … somewhere. ,Singer
https://twitter.com/AliZafarsays,Artist | Singer/Song-writer | Actor | Composer | Producer | Painter | Humanitarian.   Retweets are not endorsements.,True,"For those who don’t know. Lying in oath court account as “perjury” with serious consequences. #DeppVsHeard 

The question does arise that do false accusers once proven, deserve monetary punishment alone or jail time. Thoughts ? https://t.co/djVwbMmdwV",Mid-air … somewhere. ,Singer
https://twitter.com/AliZafarsays,Artist | Singer/Song-writer | Actor | Composer | Producer | Painter | Humanitarian.   Retweets are not endorsements.,True,"As #AmberHeard starts her cross examination, one can’t help but appreciate a justice system where defendants can’t leave the country to escape and avoid trials specially in the middle of the cross examination. WATCH LIVE:https://t.co/M9TPRWODlw",Mid-air … somewhere. ,Singer
https://twitter.com/AliZafarsays,Artist | Singer/Song-writer | Actor | Composer | Producer | Painter | Humanitarian.   Retweets are not endorsements.,True,Can’t be a better feeling to hear this from the one who gave you birth and raised you with so many unexplainable and indescribable sacrifices. Happy birthday Amma. Love you @kanwal15 https://t.co/BIkRVEACUj,Mid-air … somewhere. ,Singer
https://twitter.com/AliZafarsays,Artist | Singer/Song-writer | Actor | Composer | Producer | Painter | Humanitarian.   Retweets are not endorsements.,True,"“Each small candle, lights a corner in the dark.” https://t.co/qqmiR4xaXL",Mid-air … somewhere. ,Singer
https://twitter.com/AliZafarsays,Artist | Singer/Song-writer | Actor | Composer | Producer | Painter | Humanitarian.   Retweets are not endorsements.,True,"Tough times ahead, and here to stay for a while. Brace yourselves. Test of patience, rage, tolerance and much more complex emotions and sentiments ahead. Be kind. Be compassionate. Be tolerant. Be reasonable. Be responsible. Be strong. May God have mercy on all. Ameen.",Mid-air … somewhere. ,Singer
https://twitter.com/AliZafarsays,Artist | Singer/Song-writer | Actor | Composer | Producer | Painter | Humanitarian.   Retweets are not endorsements.,True,🙏 https://t.co/jFFOI5JnYU,Mid-air … somewhere. ,Singer
https://twitter.com/twilitekid,The Twilight Singers,True,"#nowplaying 
 https://t.co/z4ZektaiFZ",The Golden State,Singer
https://twitter.com/twilitekid,The Twilight Singers,True,🖤 https://t.co/0TTnr399Fl,The Golden State,Singer
https://twitter.com/twilitekid,The Twilight Singers,True,"Hello Congregation ~ We are collecting treasures you may have that complete our musical history. You can now upload your items in the new Congregation Collection Website!  #showusyours -&gt;

https://t.co/mcvfY1PtNQ",The Golden State,Singer
https://twitter.com/twilitekid,The Twilight Singers,True,"“Is this thing on?”

Once upon a time and happiest of new years. Viva la Rosser!

https://t.co/NqsA33YVwd https://t.co/kIaMBzxD9l",The Golden State,Singer
https://twitter.com/twilitekid,The Twilight Singers,True,Happy Birthday! @fordradio https://t.co/BGrbUDdo4s,The Golden State,Singer
https://twitter.com/twilitekid,The Twilight Singers,True,"See @MrGregDulli's only 2020 live performances airing this Saturday, August 1st. Both shows can be streamed world wide but times are as follows: 8PM GMT (UK/EU) + 9PM EST (North America) via @dicefm Tix &amp; T's: https://t.co/DzNg6URsNz
A Ghost preview: https://t.co/bE2ImE6KE2",The Golden State,Singer
https://twitter.com/twilitekid,The Twilight Singers,True,#TheShowMustBePaused https://t.co/puAQHeMffT,The Golden State,Singer
https://twitter.com/twilitekid,The Twilight Singers,True,"Happy Birthday, @MrGregDulli -from all of us. ♥️ https://t.co/t6SYy4wxm5",The Golden State,Singer
https://twitter.com/twilitekid,The Twilight Singers,True,#NewMusicFriday @MrGregDulli https://t.co/PCueBckWHt,The Golden State,Singer
https://twitter.com/twilitekid,The Twilight Singers,True,"/\/\ /\ Random Desire by @MrGregDulli is out now!
Available in multiple formats, limited editions and on your favorite streaming platform. -&gt; https://t.co/ioqXMSYlcF https://t.co/eeOwme7irB",The Golden State,Singer
https://twitter.com/kingssingers,One of the world’s best loved a cappella ensembles. Tour dates and recordings on website.,True,Grab one of the last tickets for this performance at St George’s Hall in Liverpool. We’re excited for it! https://t.co/z2sZVRNdOH,"London, UK",Singer
https://twitter.com/kingssingers,One of the world’s best loved a cappella ensembles. Tour dates and recordings on website.,True,"And a delight as always to bump into you Roddy. If this keeps happening, you’ll have to file for a restraining order on us! https://t.co/hwjJ0lsbM1","London, UK",Singer
https://twitter.com/kingssingers,One of the world’s best loved a cappella ensembles. Tour dates and recordings on website.,True,So sorry to hear of the passing of Simon Preston CBE. One tiny footnote in his amazing career was to play in the debut KS concert in 1968. We’ll be eternally proud of that! RIP Simon. https://t.co/EvWJchc7nS,"London, UK",Singer
https://twitter.com/kingssingers,One of the world’s best loved a cappella ensembles. Tour dates and recordings on website.,True,@PatrickAllies Hold my beer.,"London, UK",Singer
https://twitter.com/kingssingers,One of the world’s best loved a cappella ensembles. Tour dates and recordings on website.,True,"So excited for this anniversary. Album, concerts, it’s going to be great! https://t.co/UebkVQLJAx","London, UK",Singer
https://twitter.com/kingssingers,One of the world’s best loved a cappella ensembles. Tour dates and recordings on website.,True,"When in #Bremen, celebrate your Malcolm Williamson spirit-animal. https://t.co/aOuAy5bm3f","London, UK",Singer
https://twitter.com/kingssingers,One of the world’s best loved a cappella ensembles. Tour dates and recordings on website.,True,"That’s a new one. Our van got pulled over by an unmarked German police car just now. Speeding, we thought, or brake light. Actually? Checking that @edwardbutton1 (driving) wasn’t smuggling human traffic or drugs. Nope, we said, just sharp11 chords and flat whites.","London, UK",Singer
https://twitter.com/kingssingers,One of the world’s best loved a cappella ensembles. Tour dates and recordings on website.,True,@eleanorhydenl Great to meet you Eleanor! See you again soon🤞,"London, UK",Singer
https://twitter.com/kingssingers,One of the world’s best loved a cappella ensembles. Tour dates and recordings on website.,True,@juliacdoyle @Obs_Live Beautiful!,"London, UK",Singer
https://twitter.com/kingssingers,One of the world’s best loved a cappella ensembles. Tour dates and recordings on website.,True,Hoping we’ll see lots of you over the coming month: 16 concerts in 6 countries. Tickets: https://t.co/HQEJj1EIr8 https://t.co/xJZw1lFsAY,"London, UK",Singer
https://twitter.com/MaskedSingerFOX,Watch #TheMaskedSinger on FOX NOW and Hulu! 🎭,True,"That #FireflyMask reveal ✨ LIT ✨ up our lives! 

Watch the full unmasked interview about @TEYANATAYLOR's time on #TheMaskedSinger on our Facebook page. 👀 https://t.co/Cwyk85o8sw",,Singer
https://twitter.com/MaskedSingerFOX,Watch #TheMaskedSinger on FOX NOW and Hulu! 🎭,True,"Put your paws together for @hayleyorrantia a.k.a #RingmasterMask! 😻 

Watch the full interview about her time on #TheMaskedSinger on our Facebook page. 👀 https://t.co/s615buwaWi",,Singer
https://twitter.com/MaskedSingerFOX,Watch #TheMaskedSinger on FOX NOW and Hulu! 🎭,True,"Talk about a ROYAL 👑 unmasking! #ThePrinceMask

Watch the full unmasked interview about #CheyenneJackson's time on #TheMaskedSinger on our Facebook page. 👀 https://t.co/4Gt0dqWxdG",,Singer
https://twitter.com/MaskedSingerFOX,Watch #TheMaskedSinger on FOX NOW and Hulu! 🎭,True,@itsMissMasky YESSSS!!!! 👏👏👏 #TheMaskedSinger,,Singer
https://twitter.com/MaskedSingerFOX,Watch #TheMaskedSinger on FOX NOW and Hulu! 🎭,True,@catdeeley @DANCEonFOX We’re ready to dance! 🎉🎉🎉 #TheMaskedSinger,,Singer
https://twitter.com/MaskedSingerFOX,Watch #TheMaskedSinger on FOX NOW and Hulu! 🎭,True,@GeezDave @hayleyorrantia We love this! 👏👏👏 #TheMaskedSinger,,Singer
https://twitter.com/MaskedSingerFOX,Watch #TheMaskedSinger on FOX NOW and Hulu! 🎭,True,@I_Am_Danielle13 @hayleyorrantia 👏👏👏 #TheMaskedSinger,,Singer
https://twitter.com/MaskedSingerFOX,Watch #TheMaskedSinger on FOX NOW and Hulu! 🎭,True,@GottaThose 👏👏👏 #TheMaskedSinger,,Singer
https://twitter.com/MaskedSingerFOX,Watch #TheMaskedSinger on FOX NOW and Hulu! 🎭,True,"Last chance! Tell us who you think is under #FireflyMask... 👇

#TheMaskedSinger",,Singer
https://twitter.com/MaskedSingerFOX,Watch #TheMaskedSinger on FOX NOW and Hulu! 🎭,True,@ShidaArmyDaimyo She’s SO amazing! 🥰🥰🥰 #TheMaskedSinger,,Singer
https://twitter.com/BBCSingers,"From Monteverdi to Mvula – we’re the BBC’s pro chamber choir. Singing choral music around the world – at home on @BBCRadio3, @BBCProms and at @BarbicanCentre.",True,"What a delight to record beautiful new works by @BenPonniah &amp; @lucywalkermusic for the Music &amp; Meditation podcast in episodes 6 &amp; 8. Music conducted by @mrgrahamross with guided meditation by Kathryn McCusker &amp; Emma Cannon, listen now on @BBCSounds 🎧🎵 https://t.co/JDzN0MnrAP https://t.co/c0JfUicXQT",,Singer
https://twitter.com/BBCSingers,"From Monteverdi to Mvula – we’re the BBC’s pro chamber choir. Singing choral music around the world – at home on @BBCRadio3, @BBCProms and at @BarbicanCentre.",True,"Join us for @JobyTalbot's 21st century classic ‘Path of Miracles’ &amp; the world premiere of SEEN, an exciting new collaboration between @JoMarshComposer, lyricist @fionainterviews &amp; electronics producer Glen Scott. Book below.

 📅Fri 20 May @BarbicanCentre https://t.co/VTnVav8pQM",,Singer
https://twitter.com/BBCSingers,"From Monteverdi to Mvula – we’re the BBC’s pro chamber choir. Singing choral music around the world – at home on @BBCRadio3, @BBCProms and at @BarbicanCentre.",True,"Our @BBCRadio3’s Choral Evensong is coming live from @StPKbridge today with The Reverend Peter McGeary, Francesca Massey on the organ and our Chief Conductor @sjeannin 

Listen from 4pm: https://t.co/SFqGkHVQhP https://t.co/ivuEoimbbU",,Singer
https://twitter.com/BBCSingers,"From Monteverdi to Mvula – we’re the BBC’s pro chamber choir. Singing choral music around the world – at home on @BBCRadio3, @BBCProms and at @BarbicanCentre.",True,"We’re excited to be back at Milton Court Concert Hall next week to perform a brand-new collaboration between ⁦@JoMarshComposer⁩ &amp; electronics artist Glen Scott, &amp; the 21st Century classic; ⁦@JobyTalbot⁩ Path of Miracles 🎶

📆 20 May, 7.30pm
🎟 https://t.co/oY7DWW9NjI https://t.co/9MYwc4wbOD",,Singer
https://twitter.com/BBCSingers,"From Monteverdi to Mvula – we’re the BBC’s pro chamber choir. Singing choral music around the world – at home on @BBCRadio3, @BBCProms and at @BarbicanCentre.",True,We’re at @StPKbridge today with Principal Guest Conductor @owainpark and presenter @josephzubier for a concert marking the 70th birthday of composer and former member @binghamcomposer next month plus it’s also bass Andrew Rupp’s birthday today! 🎉 https://t.co/WdZJBqcBN1,,Singer
https://twitter.com/BBCSingers,"From Monteverdi to Mvula – we’re the BBC’s pro chamber choir. Singing choral music around the world – at home on @BBCRadio3, @BBCProms and at @BarbicanCentre.",True,"BBC Singers at the #BBCProms 

Sat 10 September
Last Night of the Proms with @DaliaStasevska 

https://t.co/nU9KWbIJfd",,Singer
https://twitter.com/BBCSingers,"From Monteverdi to Mvula – we’re the BBC’s pro chamber choir. Singing choral music around the world – at home on @BBCRadio3, @BBCProms and at @BarbicanCentre.",True,"BBC Singers at the #BBCProms 

Fri 19 Aug
Handel’s Solomon with our Chief Conductor @sjeannin 

https://t.co/8eQjjzQp4a",,Singer
https://twitter.com/BBCSingers,"From Monteverdi to Mvula – we’re the BBC’s pro chamber choir. Singing choral music around the world – at home on @BBCRadio3, @BBCProms and at @BarbicanCentre.",True,"BBC Singers at the #BBCProms 

Fri 22 July
Music for Royal Occasions with @BramwellTovey 

 https://t.co/QMKSPD5YPj",,Singer
https://twitter.com/BBCSingers,"From Monteverdi to Mvula – we’re the BBC’s pro chamber choir. Singing choral music around the world – at home on @BBCRadio3, @BBCProms and at @BarbicanCentre.",True,"@RoyalAlbertHall BBC Singers at the #BBCProms 

20 July
Russian Romance and Icelandic Elements with conductor @DaliaStasevska  

https://t.co/LPudt9h0aB",,Singer
https://twitter.com/BBCSingers,"From Monteverdi to Mvula – we’re the BBC’s pro chamber choir. Singing choral music around the world – at home on @BBCRadio3, @BBCProms and at @BarbicanCentre.",True,"🎶#BBCProms 2022 has been announced! 

We can't wait to return to the @RoyalAlbertHall stage
 this summer. You can browse full details and programmes on the website.

➡️ https://t.co/vV0uI1RoDW
🎟️Booking opens on saturday 21 May https://t.co/p8VXv3LbX9",,Singer
https://twitter.com/LatinGRAMMYs,"Durante todo el año, fomentamos, celebramos y honramos la música latina y a sus creadores alrededor del mundo. Somos #LatinGRAMMY",True,"""Hay muchísimas personas que su única forma de expresarse es a través de una melodía"" @AngelaAguilar__ 🎶 ✨ #LatinGRAMMY https://t.co/EH23viYa89","Miami, FL",Singer
https://twitter.com/LatinGRAMMYs,"Durante todo el año, fomentamos, celebramos y honramos la música latina y a sus creadores alrededor del mundo. Somos #LatinGRAMMY",True,Música nueva que tengo #onrepeat 🎧⬇️,"Miami, FL",Singer
https://twitter.com/LatinGRAMMYs,"Durante todo el año, fomentamos, celebramos y honramos la música latina y a sus creadores alrededor del mundo. Somos #LatinGRAMMY",True,".@Kristhyan, ganador del #LatinGRAMMY al Mejor Álbum de Música Clásica, nos comparte una reflexión sobre el poder que tiene la música: ""lo cura todo"" ✨🎶 https://t.co/gf7DvJrgXp","Miami, FL",Singer
https://twitter.com/LatinGRAMMYs,"Durante todo el año, fomentamos, celebramos y honramos la música latina y a sus creadores alrededor del mundo. Somos #LatinGRAMMY",True,A categoria Melhor Canção em Língua Portuguesa fez parte da primeira edição do #LatinGRAMMY em 2000 e desde então nos presenteou verdadeiras joias musicais 🎶👏 Ouça cada canção aqui https://t.co/TNoZpclnYU https://t.co/PH2tzYifB0,"Miami, FL",Singer
https://twitter.com/LatinGRAMMYs,"Durante todo el año, fomentamos, celebramos y honramos la música latina y a sus creadores alrededor del mundo. Somos #LatinGRAMMY",True,#TBT Mejor Álbum Vocal Pop Tradicional @JuanLuisGuerra 🎶👏 #LatinGRAMMY https://t.co/kjqRzSHILJ,"Miami, FL",Singer
https://twitter.com/LatinGRAMMYs,"Durante todo el año, fomentamos, celebramos y honramos la música latina y a sus creadores alrededor del mundo. Somos #LatinGRAMMY",True,".@GloriaEstefan, Persona del Año 2008 y ganadora del #LatinGRAMMY, nos recuerda de la importancia de nuestra salud mental: “siempre hay alguien que nos puede ayudar” #MentalHealthAwarenessMonth https://t.co/o2gI6n5Rfr","Miami, FL",Singer
https://twitter.com/LatinGRAMMYs,"Durante todo el año, fomentamos, celebramos y honramos la música latina y a sus creadores alrededor del mundo. Somos #LatinGRAMMY",True,".@Nellarojasm, Mejor Nuevo Artista 2019, nos habla sobre su amor por el jazz 🎷❤️ Celebra #JazzDay escuchando 🎶Al Ritmo del Latin Jazz🎶 nuestra playlist de canciones previamente nominadas al #LatinGRAMMY https://t.co/JzR4pCv2ZF https://t.co/aew9LZ6e12","Miami, FL",Singer
https://twitter.com/LatinGRAMMYs,"Durante todo el año, fomentamos, celebramos y honramos la música latina y a sus creadores alrededor del mundo. Somos #LatinGRAMMY",True,"Al igual que la música, el baile rompe todo tipo de barreras y tiene el poder de unirnos ✨🎶 Celebramos el Día Internacional del Baile junto a @SiudyGarrido, @PapiCultu, @VictorDrija y @JanethBriceno. ¿Qué significa el baile para ti? #InternationalDanceDay https://t.co/tq9aZneMDK","Miami, FL",Singer
https://twitter.com/LatinGRAMMYs,"Durante todo el año, fomentamos, celebramos y honramos la música latina y a sus creadores alrededor del mundo. Somos #LatinGRAMMY",True,"Los #LatinGRAMMY son el resultado de un proceso participativo. A través de la inscripción de producto, nuestros miembros inician el proceso que definirá quienes dejarán su huella en la historia de la música latina. 🎶
  
➡️ Para más información:  
https://t.co/eAq3lxH3dw https://t.co/nS0kuhkfyr","Miami, FL",Singer
https://twitter.com/LatinGRAMMYs,"Durante todo el año, fomentamos, celebramos y honramos la música latina y a sus creadores alrededor del mundo. Somos #LatinGRAMMY",True,"Si eres miembro, no olvides que la ronda final de inscripciones para los #LatinGRAMMY está por terminar. 
📅 Fecha límite: 29 de abril  
➡️ Para más información:  
https://t.co/eAq3lxH3dw https://t.co/Q5EnxMsh86","Miami, FL",Singer
https://twitter.com/yunamusic,yunamusic.com,True,"Honored to be celebrating #AAPIHeritageMonth with @pandoramusic 💕 Hear my music now on Pan-Asian United!
https://t.co/daUQQWUs2l

#PandoraMusic https://t.co/GhJNb4LrOp","Los Angeles, CA",Singer
https://twitter.com/yunamusic,yunamusic.com,True,@hadjemilin Lighting ala ala LA rupanya dekat Kuala Kangsar💕,"Los Angeles, CA",Singer
https://twitter.com/yunamusic,yunamusic.com,True,Love u guys! Thank you @myxglobal! https://t.co/560s2rRpHy,"Los Angeles, CA",Singer
https://twitter.com/yunamusic,yunamusic.com,True,💕💕💕💕 https://t.co/qwvmHHYLdu,"Los Angeles, CA",Singer
https://twitter.com/yunamusic,yunamusic.com,True,You guys this is the first ever acoustic performance of Pantone 17 13 30. Watch and let me know what you think! https://t.co/jCjwGFlxEC,"Los Angeles, CA",Singer
https://twitter.com/yunamusic,yunamusic.com,True,This is so sweet- thank you! and yes im independent now means when you support my music you support me directly yay🤍🤍🤍🤍 https://t.co/AK2q1cWC6t,"Los Angeles, CA",Singer
https://twitter.com/yunamusic,yunamusic.com,True,"My 2nd part of my new album is here.
'Y2' is out now

https://t.co/LmXLauZ0it
#yunaY5 https://t.co/r6SzcZKCmN","Los Angeles, CA",Singer
https://twitter.com/yunamusic,yunamusic.com,True,Eid Mubarak from us in Malaysia to you💕 https://t.co/dxis1aKG3r,"Los Angeles, CA",Singer
https://twitter.com/yunamusic,yunamusic.com,True,Eid mubarak friends!🤍🤍🤍,"Los Angeles, CA",Singer
